Hash,State,County,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable,Number of returns,Adjust gross income,Total income amount,Salaries and wages amount,State and local income taxes amount,Real estate taxes amount,Total taxes paid amount,Residential energy tax credit amount,Population served,Water systems,Cities served,Water system per capita
Iowa Cedar,Iowa,Cedar County,308,18390,0.743506494,0.256493506,0,31.9,0,0.906330826,8860,563412,572043,394543,2751,1408,3238,139,13366,22,22,607.5454545
Iowa Cerro,Iowa,Cerro Gordo County,265,43305,0.890566038,0.109433962,1,111.5,0,0.906330826,20400,1268605,1287996,847265,12475,5942,10201,72,41010,35,35,1171.714286
Iowa Chero,Iowa,Cherokee County,246,11750,0.715447154,0.284552846,0,29.7,0,0.906330826,5590,320842,329298,199780,1640,625,1562,0,13340,12,12,1111.666667
Iowa Chick,Iowa,Chickasaw County,307,12165,0.827361564,0.172638436,0,33.3,0,0.906330826,5690,334006,341669,221896,1600,590,1430,0,8411,26,26,323.5
Iowa Clark,Iowa,Clarke County,168,9275,0.738095238,0.261904762,0,31.4,31.4,0.906330826,4350,218106,220944,163709,783,492,1134,0,26768,4,4,6692
Iowa Clayt,Iowa,Clayton County,262,17735,0.885496183,0.114503817,0,59.3,0,0.906330826,8290,412227,421641,296273,2151,924,2259,0,13797,46,46,299.9347826
Iowa Clint,Iowa,Clinton County,372,47970,0.970430108,0.029569892,0,64,0,0.906330826,22050,1207671,1223089,866015,6730,3469,7398,118,42672,27,27,1580.444444
Iowa Crawf,Iowa,Crawford County,311,17145,0.864951768,0.135048232,0,78.3,0,0.906330826,7660,413703,421963,287144,2458,883,2131,41,15081,10,10,1508.1
Iowa Dalla,Iowa,Dallas County,186,78075,0.887096774,0.112903226,0,21.6,0,0.906330826,44750,4747144,4800806,3317947,95108,37923,60268,392,117689,24,24,4903.708333
Iowa Davis,Iowa,Davis County,180,8770,0.638888889,0.361111111,0,\N,\N,0.906330826,3560,173985,176842,120923,992,450,1091,0,33828,3,3,11276
Iowa Decat,Iowa,Decatur County,207,8210,0.623188406,0.376811594,0,\N,\N,0.906330826,3010,147556,149777,98172,1140,291,734,0,55637,6,6,9272.833333
Iowa Delaw,Iowa,Delaware County,290,17445,0.927586207,0.072413793,0,39.9,0,0.906330826,8160,462959,473847,336189,2525,1195,2776,123,9487,30,30,316.2333333
Iowa Des M,Iowa,Des Moines County,176,40115,0.795454545,0.204545455,1,75.3,18.1,0.906330826,18660,1034790,1047186,703351,8089,3542,6689,92,42638,10,10,4263.8
Iowa Dicki,Iowa,Dickinson County,88,17045,0.852272727,0.147727273,0,3,0,0.906330826,8990,666883,683647,359157,8092,5134,7290,0,20393,20,20,1019.65
Iowa Dubuq,Iowa,Dubuque County,331,96360,0.858006042,0.141993958,1,63.7,0,0.906330826,47480,3205657,3244884,2122852,40554,13063,22880,555,88659,80,80,1108.2375
Iowa Emmet,Iowa,Emmet County,77,9820,0.779220779,0.220779221,0,36.2,0,0.906330826,4290,220044,225979,149829,735,397,984,0,8549,11,11,777.1818182
Iowa Fayet,Iowa,Fayette County,358,20390,0.818435754,0.181564246,0,8.3,0,0.906330826,8750,433815,444804,300827,1663,771,1808,141,15536,25,25,621.44
Iowa Floyd,Iowa,Floyd County,208,16005,0.865384615,0.134615385,0,65.2,0,0.906330826,7260,402102,408951,271088,2449,888,2216,0,12710,17,17,747.6470588
Iowa Frank,Iowa,Franklin County,233,10395,0.854077253,0.145922747,0,26.5,0,0.906330826,4330,246702,253016,157716,1302,511,1405,0,10658,20,20,532.9
Iowa Fremo,Iowa,Fremont County,172,7020,0.802325581,0.197674419,0,25.1,0,0.906330826,3040,177041,180293,117210,647,314,875,0,6200,14,14,442.8571429
Iowa Green,Iowa,Greene County,170,9085,0.888235294,0.111764706,0,37.2,0,0.906330826,4120,223294,228532,147804,1130,432,1133,0,12144,7,7,1734.857143
Iowa Grund,Iowa,Grundy County,282,12375,0.776595745,0.223404255,0,\N,\N,0.906330826,5720,405855,413402,261689,3231,1239,2811,0,44437,9,9,4937.444444
Iowa Guthr,Iowa,Guthrie County,269,10690,0.710037175,0.289962825,0,24,0,0.906330826,5090,334965,340967,210712,3358,1302,2471,0,7704,11,11,700.3636364
Iowa Hamil,Iowa,Hamilton County,167,15225,0.814371257,0.185628743,0,54,0,0.906330826,6960,410899,422499,280808,3000,1183,2380,0,20641,14,14,1474.357143
Iowa Hanco,Iowa,Hancock County,145,11005,0.786206897,0.213793103,0,49.2,0,0.906330826,5040,294413,300854,194959,1659,578,1588,0,8016,18,18,445.3333333
Iowa Hardi,Iowa,Hardin County,251,17325,0.820717131,0.179282869,0,69.6,0,0.906330826,7710,412278,422201,281981,2262,920,2230,0,50133,22,22,2278.772727
Iowa Harri,Iowa,Harrison County,219,14335,0.762557078,0.237442922,0,101.3,0,0.906330826,6540,389357,395996,280272,2222,824,2207,73,10210,19,19,537.3684211
Iowa Henry,Iowa,Henry County,176,19940,0.835227273,0.164772727,0,19.9,19.2,0.906330826,8750,478281,486528,332787,3002,1379,2981,0,26330,12,12,2194.166667
Iowa Howar,Iowa,Howard County,217,9430,0.751152074,0.248847926,0,\N,\N,0.906330826,4480,240892,246420,155301,1033,463,1169,0,7446,22,22,338.4545455
Iowa Humbo,Iowa,Humboldt County,92,9605,0.826086957,0.173913043,0,39.3,0,0.906330826,4450,284835,291857,178058,2861,778,1702,0,7226,13,13,555.8461538
Iowa Jacks,Iowa,Jackson County,252,19530,0.78968254,0.21031746,0,34.4,0,0.906330826,9380,495772,505073,365355,2695,1163,2690,0,12989,30,30,432.9666667
Iowa Jaspe,Iowa,Jasper County,388,36715,0.652061856,0.347938144,0,45.3,0,0.906330826,16770,990120,1002866,711524,6066,2894,6485,133,61969,12,12,5164.083333
Iowa Jeffe,Iowa,Jefferson County,159,17660,0.716981132,0.283018868,0,28.4,24.4,0.906330826,7240,378932,387427,242012,4490,2026,3425,86,57615,7,7,8230.714286
Iowa Johns,Iowa,Johnson County,362,142005,0.889502762,0.110497238,0,53.1,0,0.906330826,66220,5328198,5395378,3731912,79863,39996,60827,1310,154495,130,130,1188.423077
Iowa Jones,Iowa,Jones County,239,20480,0.941422594,0.058577406,0,\N,\N,0.906330826,9020,539948,549059,372627,2979,1258,2852,198,15437,39,39,395.8205128
Iowa Keoku,Iowa,Keokuk County,196,10235,0.821428571,0.178571429,0,9.4,0,0.906330826,4490,222284,227076,158541,693,218,812,0,21872,12,12,1822.666667
Iowa Kossu,Iowa,Kossuth County,277,15225,0.909747292,0.090252708,0,82.7,0,0.906330826,7300,440449,453679,266392,3339,1154,2868,0,11405,29,29,393.2758621
Iowa Louis,Iowa,Louisa County,150,11250,0.886666667,0.113333333,\N,19.4,0,0.906330826,5020,270900,274704,194560,1323,456,1247,0,10755,25,25,430.2
Iowa Lucas,Iowa,Lucas County,195,8700,0.671794872,0.328205128,0,51.5,31.1,0.906330826,3890,196176,198699,139792,1064,355,891,0,35700,3,3,11900
Iowa Madis,Iowa,Madison County,225,15660,0.626666667,0.373333333,0,8.4,0,0.906330826,7460,530008,537489,388983,5535,3019,5498,128,44536,5,5,8907.2
Iowa Mahas,Iowa,Mahaska County,235,22325,0.676595745,0.323404255,0,25.5,0,0.906330826,9600,576133,584422,397823,4455,1455,3431,0,21633,3,3,7211
Iowa Mario,Iowa,Marion County,224,33195,0.772321429,0.227678571,0,55.2,0,0.906330826,14930,1068197,1080925,728429,10888,4667,9401,0,28763,13,13,2212.538462
Iowa Marsh,Iowa,Marshall County,312,40735,0.666666667,0.333333333,0,40.1,0,0.906330826,17850,1023987,1035659,712687,6835,2865,6142,134,70292,13,13,5407.076923
Iowa Mills,Iowa,Mills County,183,14840,0.803278689,0.196721311,\N,47,27.9,0.906330826,6650,469938,476061,330788,4134,2133,4322,0,8963,15,15,597.5333333
Iowa Mitch,Iowa,Mitchell County,167,10755,0.838323353,0.161676647,0,38.4,0,0.906330826,4830,275748,283200,182217,1714,549,1548,0,6873,17,17,404.2941176
Iowa Monon,Iowa,Monona County,169,9015,0.692307692,0.307692308,0,25.8,0,0.906330826,4030,214577,219242,142508,1144,349,1042,0,6892,14,14,492.2857143
Iowa Monro,Iowa,Monroe County,140,7965,0.721428571,0.278571429,0,78.5,39.6,0.906330826,3430,185691,187708,135966,1378,286,723,0,35222,3,3,11740.66667
Iowa Montg,Iowa,Montgomery County,216,10380,0.736111111,0.263888889,0,35.5,25.8,0.906330826,4640,246901,252510,161748,923,585,1173,0,11193,5,5,2238.6
Iowa Musca,Iowa,Muscatine County,146,42950,0.787671233,0.212328767,0,56.6,0,0.906330826,20450,1200349,1212356,865332,8662,4065,7974,51,38015,40,40,950.375
Iowa O'Bri,Iowa,O'Brien County,268,14055,0.992537313,0.007462687,0,30.6,0,0.906330826,6610,404428,415124,250984,3411,1026,2422,0,11128,7,7,1589.714286
Iowa Osceo,Iowa,Osceola County,185,6155,0.913513514,0.086486486,0,18.1,0,0.906330826,2870,144416,149755,104747,583,223,671,0,10973,7,7,1567.571429
Iowa Palo ,Iowa,Palo Alto County,136,9155,0.838235294,0.161764706,0,54.4,0,0.906330826,4150,219268,225446,141951,938,541,1185,0,\N,\N,\N,\N
Iowa Plymo,Iowa,Plymouth County,456,24970,0.752192982,0.247807018,0,86.4,0,0.906330826,12230,812150,828580,561459,7038,2703,6012,162,16988,13,13,1306.769231
Iowa Pocah,Iowa,Pocahontas County,208,7060,0.754807692,0.245192308,0,43.4,0,0.906330826,3200,174466,180477,109269,465,212,650,0,5712,11,11,519.2727273
Iowa Potta,Iowa,Pottawattamie County,565,93200,0.877876106,0.122123894,0,137.5,0,0.906330826,42540,2552473,2579182,1839975,20019,11712,21682,116,84051,35,35,2401.457143
Iowa Powes,Iowa,Poweshiek County,270,18620,0.674074074,0.325925926,0,48.6,0,0.906330826,8190,498505,506975,333453,4600,2026,4253,0,15133,8,8,1891.625
Iowa Ringg,Iowa,Ringgold County,231,5055,0.545454545,0.454545455,0,\N,\N,0.906330826,2050,89754,92538,68581,599,291,511,0,20908,4,4,5227
Iowa Scott,Iowa,Scott County,288,171115,0.888888889,0.111111111,0,63.2,0,0.906330826,82080,5954454,6022941,4120530,83321,36360,57699,211,162987,76,76,2144.565789
Iowa Shelb,Iowa,Shelby County,219,11945,0.863013699,0.136986301,0,24.2,0,0.906330826,5700,341601,350322,218246,2218,777,2022,0,12143,9,9,1349.222222
Iowa Sioux,Iowa,Sioux County,448,34620,0.966517857,0.033482143,0,66.9,0,0.906330826,14520,1040548,1069993,672871,14743,5209,11323,194,35834,16,16,2239.625
Iowa Story,Iowa,Story County,291,94835,0.828178694,0.171821306,0,69.6,0,0.906330826,37750,2741802,2775344,1860577,35732,15821,28515,159,151344,22,22,6879.272727
Iowa Taylo,Iowa,Taylor County,246,6210,0.585365854,0.414634146,0,\N,\N,0.906330826,2750,121363,124323,90098,510,182,588,0,21806,4,4,5451.5
Iowa Union,Iowa,Union County,187,12540,0.673796791,0.326203209,0,24.8,24.8,0.906330826,5480,275900,280645,192552,1486,774,1548,0,26344,2,2,13172
Iowa Van B,Iowa,Van Buren County,161,7380,0.677018634,0.322981366,0,\N,\N,0.906330826,3060,151314,154086,97292,1329,404,1068,0,34326,8,8,4290.75
Iowa Wapel,Iowa,Wapello County,202,35240,0.747524752,0.252475248,0,61.2,26.4,0.906330826,15410,765825,773856,574419,3584,1779,3622,216,43661,7,7,6237.285714
Iowa Warre,Iowa,Warren County,254,48170,0.708661417,0.291338583,0,15.1,0,0.906330826,23880,1788334,1809461,1331040,21343,11343,19930,210,49686,13,13,3822
Iowa Washi,Iowa,Washington County,214,22115,0.822429907,0.177570093,0,25.5,0,0.906330826,10300,624218,634425,420416,5368,2355,5062,122,31202,25,25,1248.08
Iowa Wayne,Iowa,Wayne County,163,6405,0.779141104,0.220858896,0,43.1,0,0.906330826,2670,103658,106193,84244,356,219,489,0,34387,6,6,5731.166667
Iowa Webst,Iowa,Webster County,218,37050,0.76146789,0.23853211,1,99.4,0,0.906330826,16090,895675,910899,620327,6958,2926,5549,0,39425,31,31,1271.774194
Iowa Woodb,Iowa,Woodbury County,462,102425,0.787878788,0.212121212,1,62.2,0,0.906330826,47460,2731024,2762405,1941983,18755,8721,17643,190,95733,28,28,3419.035714
Iowa Worth,Iowa,Worth County,114,7560,0.868421053,0.131578947,0,45.4,0,0.906330826,3560,191886,196539,126742,502,242,707,0,8897,14,14,635.5
Iowa Wrigh,Iowa,Wright County,192,12890,0.729166667,0.270833333,0,69.4,0,0.906330826,5670,308064,315463,199801,1702,697,1779,0,12163,21,21,579.1904762
Kansas Allen,Kansas,Allen County,228,12950,0.872807018,0.127192982,0,27.1,0,0.883778315,5830,253613,256826,185419,1051,506,1323,0,9926,14,14,709
Kansas Ander,Kansas,Anderson County,143,7860,0.965034965,0.034965035,0,39.3,0,0.883778315,3520,162524,165686,117150,610,303,743,0,7391,7,7,1055.857143
Kansas Atchi,Kansas,Atchison County,201,16555,0.885572139,0.114427861,0,34,0,0.883778315,6850,360314,365304,258877,1951,813,1865,0,16363,8,8,2045.375
Kansas Barbe,Kansas,Barber County,240,4830,0.991666667,0.008333333,0,32.9,0,0.883778315,2080,92401,94913,66707,570,182,540,0,3805,9,9,422.7777778
Kansas Barto,Kansas,Barton County,447,27215,0.995525727,0.004474273,0,83.4,0,0.883778315,11830,615591,626972,428899,4012,1921,3600,0,22905,17,17,1347.352941
Kansas Bourb,Kansas,Bourbon County,204,14750,0.848039216,0.151960784,0,42.1,0,0.883778315,6180,257935,261372,196316,887,678,1378,0,16632,6,6,2772
Kansas Brown,Kansas,Brown County,257,9810,0.945525292,0.054474708,0,57.5,0,0.883778315,4350,216297,221321,146268,857,242,819,0,7154,11,11,650.3636364
Kansas Butle,Kansas,Butler County,590,66265,0.933898305,0.066101695,0,91.9,0,0.883778315,29410,2037681,2064561,1450613,19277,11179,18772,93,47155,21,21,2245.47619
Kansas Chase,Kansas,Chase County,186,2695,0.946236559,0.053763441,0,56,30.4,0.883778315,1180,59154,60691,38261,129,100,309,0,1770,7,7,252.8571429
Kansas Chaut,Kansas,Chautauqua County,133,3470,0.902255639,0.097744361,0,\N,\N,0.883778315,1390,67049,68228,44306,312,156,420,0,2472,10,10,247.2
Kansas Chero,Kansas,Cherokee County,309,20735,0.928802589,0.071197411,0,71.3,0,0.883778315,8430,419943,424132,293598,2097,541,1888,0,19679,18,18,1093.277778
Kansas Cheye,Kansas,Cheyenne County,100,2680,0.91,0.09,0,21.4,0,0.883778315,1220,52629,54192,33553,188,102,311,0,1724,2,2,862
Kansas Clark,Kansas,Clark County,105,2130,0.971428571,0.028571429,0,9.9,0,0.883778315,940,46446,47272,34421,306,99,367,0,1523,3,3,507.6666667
Kansas Cloud,Kansas,Cloud County,316,9300,0.949367089,0.050632911,0,65.1,0,0.883778315,3990,179183,182797,120070,418,255,671,0,7317,7,7,1045.285714
Kansas Coffe,Kansas,Coffey County,304,8435,0.983552632,0.016447368,0,31.6,0,0.883778315,3940,239566,242828,176907,1424,544,1458,0,9520,9,9,1057.777778
Kansas Coman,Kansas,Comanche County,111,1900,1,0,0,\N,\N,0.883778315,790,34156,35517,23217,126,53,192,0,1370,4,4,342.5
Kansas Cowle,Kansas,Cowley County,337,35975,0.949554896,0.050445104,0,88.7,0,0.883778315,15000,780272,789907,541496,4151,2264,5374,0,46394,16,16,2899.625
Kansas Crawf,Kansas,Crawford County,294,39280,0.918367347,0.081632653,0,61,0,0.883778315,15970,895622,905046,573411,8106,2521,5296,98,38790,18,18,2155
Kansas Decat,Kansas,Decatur County,162,2885,0.913580247,0.086419753,0,56,0,0.883778315,1400,56165,57841,37159,113,39,229,0,1936,3,3,645.3333333
Kansas Dicki,Kansas,Dickinson County,379,19385,0.941952507,0.058047493,0,96.6,5.7,0.883778315,8810,445151,452337,313221,1881,1174,2599,0,14955,15,15,997
Kansas Donip,Kansas,Doniphan County,127,7795,0.913385827,0.086614173,0,0.7,0,0.883778315,3270,170496,173328,123282,659,228,698,0,6993,8,8,874.125
Kansas Dougl,Kansas,Douglas County,298,116350,1,0,0,29.5,21.3,0.883778315,52010,3563841,3614094,2409662,38229,20785,35058,469,158121,15,15,10541.4
Kansas Edwar,Kansas,Edwards County,68,2975,0.970588235,0.029411765,0,30.3,30.3,0.883778315,1390,67876,69864,44916,124,37,192,0,2034,4,4,508.5
Kansas Ellis,Kansas,Ellis County,280,29030,0.978571429,0.021428571,1,31.5,0,0.883778315,13050,758299,772556,516202,5540,2793,5828,0,25719,14,14,1837.071429
Kansas Ellsw,Kansas,Ellsworth County,253,6375,0.992094862,0.007905138,0,35.4,0,0.883778315,2600,140684,143383,93593,652,250,685,0,7431,7,7,1061.571429
Kansas Finne,Kansas,Finney County,78,36985,1,0,1,61.5,25.7,0.883778315,17590,922588,937428,706461,5353,3080,6106,60,38206,19,19,2010.842105
Kansas Frank,Kansas,Franklin County,328,25665,0.969512195,0.030487805,0,32,0,0.883778315,11870,631388,638762,475528,2938,1819,3952,114,23628,14,14,1687.714286
Kansas Geary,Kansas,Geary County,144,36820,0.944444444,0.055555556,0,15.7,0,0.883778315,16860,749724,756133,616860,1751,2110,3945,0,61345,16,16,3834.0625
Kansas Graha,Kansas,Graham County,143,2575,0.916083916,0.083916084,0,\N,\N,0.883778315,1180,48082,49371,32659,0,49,175,0,1692,3,3,564
Kansas Grant,Kansas,Grant County,16,7750,1,0,0,28.3,0,0.883778315,3110,170337,173821,126653,985,436,1153,0,5979,3,3,1993
Kansas Greel,Kansas,Greeley County,33,1235,1,0,0,25.9,0,0.883778315,590,30985,32125,19908,105,0,176,0,811,2,2,405.5
Kansas Green,Kansas,Greenwood County,237,6305,0.831223629,0.168776371,0,\N,\N,0.883778315,2700,118811,121408,81454,348,174,527,0,7042,11,11,640.1818182
Kansas Hamil,Kansas,Hamilton County,66,2565,0.984848485,0.015151515,0,28.4,28.4,0.883778315,1010,33112,34757,33582,125,52,226,0,1901,3,3,633.6666667
Kansas Harpe,Kansas,Harper County,386,5800,0.935233161,0.064766839,0,41.8,0,0.883778315,2520,111967,114003,78172,738,331,855,0,4663,8,8,582.875
Kansas Harve,Kansas,Harvey County,372,34815,0.919354839,0.080645161,0,62.6,33.9,0.883778315,15780,914074,926783,627540,5624,3294,7194,51,32605,14,14,2328.928571
Kansas Haske,Kansas,Haskell County,17,4085,1,0,0,33.1,0,0.883778315,1750,115299,118574,66142,562,369,859,0,2501,3,3,833.6666667
Kansas Hodge,Kansas,Hodgeman County,110,1920,0.990909091,0.009090909,0,8.7,0,0.883778315,840,42937,44690,26602,93,44,167,0,1039,3,3,346.3333333
Kansas Jacks,Kansas,Jackson County,244,13365,0.967213115,0.032786885,0,7.8,0,0.883778315,6170,314823,319061,234041,941,600,1382,0,12027,12,12,1002.25
Kansas Jeffe,Kansas,Jefferson County,189,18880,0.931216931,0.068783069,0,21.5,0,0.883778315,8690,513572,519524,380957,2652,1568,3554,112,19635,19,19,1033.421053
Kansas Jewel,Kansas,Jewell County,333,3005,0.876876877,0.123123123,0,46.8,0,0.883778315,1420,62228,64861,35064,148,55,230,0,2578,7,7,368.2857143
Kansas Johns,Kansas,Johnson County,751,572430,0.99334221,0.00665779,0,87.1,17.9,0.883778315,294410,31737405,32163334,20579245,591614,263105,423845,1277,626592,9,9,69621.33333
Kansas Kearn,Kansas,Kearny County,74,3945,1,0,0,26.3,26.3,0.883778315,1750,98898,101332,62665,437,226,653,0,2831,2,2,1415.5
Kansas Kingm,Kansas,Kingman County,392,7695,0.977040816,0.022959184,0,91.2,0,0.883778315,3490,185723,189262,128699,911,550,1133,0,4156,6,6,692.6666667
Kansas Kiowa,Kansas,Kiowa County,90,2520,1,0,0,29.8,0,0.883778315,1070,49275,50589,35013,181,76,281,0,1691,3,3,563.6666667
Kansas Labet,Kansas,Labette County,349,20835,0.945558739,0.054441261,0,59.9,0,0.883778315,8920,398622,404065,297650,2030,1030,2330,0,19551,15,15,1303.4
Kansas Leave,Kansas,Leavenworth County,240,78785,0.983333333,0.016666667,0,34.3,0,0.883778315,34100,2266764,2286654,1624046,14831,10705,21209,215,83465,18,18,4636.944444
Kansas Linco,Kansas,Lincoln County,238,3135,0.903361345,0.096638655,0,35.9,0,0.883778315,1390,55687,57333,39279,0,38,165,0,1657,4,4,414.25
Kansas Logan,Kansas,Logan County,55,2800,0.981818182,0.018181818,0,40,0,0.883778315,1360,73021,74854,46389,323,185,421,0,2235,2,2,1117.5
Kansas McPhe,Kansas,McPherson County,581,29165,0.984509466,0.015490534,0,60,0,0.883778315,13820,876560,894435,579015,7620,3046,6811,0,23624,14,14,1687.428571
Kansas Mario,Kansas,Marion County,328,12215,0.87804878,0.12195122,0,90.1,19.5,0.883778315,5250,271526,277627,184199,1341,690,1644,0,9939,14,14,709.9285714
Kansas Marsh,Kansas,Marshall County,402,9965,0.880597015,0.119402985,0,69.9,0,0.883778315,4860,270235,276456,171174,1261,522,1322,0,7854,11,11,714
Kansas Meade,Kansas,Meade County,85,4310,0.988235294,0.011764706,0,33.7,0,0.883778315,1870,107910,111323,66255,572,246,706,0,3314,5,5,662.8
Kansas Miami,Kansas,Miami County,326,32785,0.935582822,0.064417178,0,73.8,0,0.883778315,15670,1092865,1107438,774740,10562,6314,11757,259,28298,9,9,3144.222222
Kansas Mitch,Kansas,Mitchell County,262,6300,0.961832061,0.038167939,0,56.6,0,0.883778315,2880,139397,142810,94422,692,604,1114,0,8625,9,9,958.3333333
Kansas Montg,Kansas,Montgomery County,321,33765,0.943925234,0.056074766,0,102.9,0,0.883778315,13180,627244,634074,468322,3393,1600,3859,0,31446,17,17,1849.764706
Kansas Morri,Kansas,Morris County,184,5695,0.89673913,0.10326087,0,25.9,0,0.883778315,2550,131423,134268,88335,506,371,762,0,4135,5,5,827
Kansas Morto,Kansas,Morton County,17,3035,1,0,0,21.8,0,0.883778315,1280,64262,65251,46662,402,163,529,0,2207,3,3,735.6666667
Kansas Nemah,Kansas,Nemaha County,357,10175,0.915966387,0.084033613,0,27.7,0,0.883778315,5000,334548,342564,201666,2334,563,1720,0,9628,11,11,875.2727273
Kansas Neosh,Kansas,Neosho County,243,16360,0.942386831,0.057613169,0,51.3,0,0.883778315,6960,332632,337956,237547,1869,914,2051,0,17340,15,15,1156
Kansas Norto,Kansas,Norton County,248,5560,0.97983871,0.02016129,0,49.3,0,0.883778315,2250,111918,114108,75166,544,184,531,0,4490,8,8,561.25
Kansas Osage,Kansas,Osage County,306,16000,0.934640523,0.065359477,0,60.6,32.3,0.883778315,7400,379608,384346,281170,1035,815,1901,71,17441,17,17,1025.941176
Kansas Osbor,Kansas,Osborne County,242,3745,0.91322314,0.08677686,0,28.5,0,0.883778315,1700,74870,77124,50090,237,79,314,0,2732,7,7,390.2857143
Kansas Ottaw,Kansas,Ottawa County,297,6005,0.956228956,0.043771044,0,35,0,0.883778315,2730,132449,135258,100807,629,460,924,0,5302,7,7,757.4285714
Kansas Pawne,Kansas,Pawnee County,165,6840,0.987878788,0.012121212,0,44.5,0,0.883778315,2740,135674,138638,88688,403,329,772,0,16182,7,7,2311.714286
Kansas Phill,Kansas,Phillips County,258,5485,0.84496124,0.15503876,0,41.2,0,0.883778315,2530,113823,116572,80898,370,193,564,0,4256,10,10,425.6
Kansas Potta,Kansas,Pottawatomie County,304,22920,0.930921053,0.069078947,0,62.1,0,0.883778315,11060,722075,732723,521417,4835,2634,5637,0,23154,19,19,1218.631579
Kansas Pratt,Kansas,Pratt County,116,9730,0.99137931,0.00862069,0,62.6,0,0.883778315,4240,237899,242662,159994,1785,763,1738,0,8062,12,12,671.8333333
Kansas Rawli,Kansas,Rawlins County,107,2555,0.85046729,0.14953271,0,38.3,0,0.883778315,1250,63738,65564,37470,296,115,420,0,1485,3,3,495
Kansas Repub,Kansas,Republic County,273,4770,0.941391941,0.058608059,0,40.8,0,0.883778315,2340,103851,107362,64493,284,164,438,0,4686,10,10,468.6
Kansas Riley,Kansas,Riley County,216,75025,0.921296296,0.078703704,1,14.5,0,0.883778315,25700,1547566,1570115,1078833,15218,9812,15439,102,62182,15,15,4145.466667
Kansas Rooks,Kansas,Rooks County,170,5160,0.970588235,0.029411765,0,\N,\N,0.883778315,2370,101185,103714,73867,492,242,667,0,4150,9,9,461.1111111
Kansas Russe,Kansas,Russell County,266,6990,0.992481203,0.007518797,0,32.6,0,0.883778315,3150,143584,146906,98002,734,487,990,0,7224,13,13,555.6923077
Kansas Salin,Kansas,Saline County,380,55545,0.989473684,0.010526316,1,68.4,0,0.883778315,26310,1505303,1526088,1007805,14334,4827,9985,60,51615,14,14,3686.785714
Kansas Scott,Kansas,Scott County,23,4960,1,0,0,42.1,0,0.883778315,2310,161301,165599,91549,1201,536,1105,0,3878,4,4,969.5
Kansas Sedgw,Kansas,Sedgwick County,1310,508220,0.954961832,0.045038168,1,140.2,0,0.883778315,237760,15811233,15989855,10557296,234339,69171,133295,708,486834,31,31,15704.32258
Kansas Sewar,Kansas,Seward County,13,23185,1,0,1,26.2,0,0.883778315,9350,440481,446667,364270,2486,1323,4069,36,43433,10,10,4343.3
Kansas Shawn,Kansas,Shawnee County,556,178565,0.96942446,0.03057554,0,80.4,27.9,0.883778315,83640,5087015,5139157,3388595,42536,19609,39094,344,154556,9,9,17172.88889
Kansas Sheri,Kansas,Sheridan County,120,2520,0.858333333,0.141666667,0,12.5,0,0.883778315,1260,54304,56811,39994,278,158,449,0,1411,2,2,705.5
Kansas Sherm,Kansas,Sherman County,106,6040,0.952830189,0.047169811,0,35.1,0,0.883778315,2660,130408,132998,89231,452,229,647,0,4606,4,4,1151.5
Kansas Smith,Kansas,Smith County,290,3700,0.868965517,0.131034483,0,30.9,0,0.883778315,1800,75755,78978,49232,288,126,405,0,2704,5,5,540.8
Kansas Staff,Kansas,Stafford County,120,4285,0.991666667,0.008333333,0,30.4,30.4,0.883778315,1910,83312,85294,60313,280,138,433,0,2676,3,3,892
Kansas Stant,Kansas,Stanton County,21,2115,1,0,0,29.4,0,0.883778315,940,62233,63779,32581,434,113,393,0,1480,2,2,740
Kansas Steve,Kansas,Stevens County,3,5740,1,0,0,31.1,0,0.883778315,2240,132243,134857,86544,726,420,1107,0,4099,2,2,2049.5
Kansas Sumne,Kansas,Sumner County,668,23510,0.989520958,0.010479042,0,124.3,0,0.883778315,10170,558102,565526,398526,2280,1296,3155,0,24009,20,20,1200.45
Kansas Thoma,Kansas,Thomas County,82,7910,0.987804878,0.012195122,0,58,0,0.883778315,3710,203935,208230,140061,1179,622,1337,0,5954,8,8,744.25
Kansas Trego,Kansas,Trego County,169,2925,0.940828402,0.059171598,0,32.7,0,0.883778315,1460,68615,70219,48662,181,105,300,0,3421,5,5,684.2
Kansas Wabau,Kansas,Wabaunsee County,244,6960,0.901639344,0.098360656,0,36.7,0,0.883778315,3190,185159,187925,133603,660,483,1001,0,4995,10,10,499.5
Kansas Walla,Kansas,Wallace County,46,1585,1,0,0,31.5,0,0.883778315,720,35728,36905,22250,0,0,165,0,976,3,3,325.3333333
Kansas Washi,Kansas,Washington County,330,5615,0.957575758,0.042424242,0,16.1,0,0.883778315,2760,128291,131729,86852,286,127,405,0,5074,12,12,422.8333333
Kansas Wichi,Kansas,Wichita County,22,2170,1,0,0,23.7,0,0.883778315,1090,58405,60297,36369,278,95,324,0,1437,1,1,1437
Kansas Wilso,Kansas,Wilson County,209,8955,0.870813397,0.129186603,0,55.7,0,0.883778315,3750,173424,176495,120684,884,374,922,0,9028,17,17,531.0588235
Kansas Woods,Kansas,Woodson County,143,3185,0.909090909,0.090909091,\N,22.2,0,0.883778315,1380,59877,60903,42261,0,0,96,0,3386,3,3,1128.666667
