Hash,State,County,Number of returns,Adjust gross income,Total income amount,Salaries and wages amount,State and local income taxes amount,Real estate taxes amount,Total taxes paid amount,Residential energy tax credit amount
Georgia Rabun,Georgia,Rabun County,7790.0000,436308.0000,441560.0000,234283.0000,5999.0000,2636.0000,4790.0000,0.0000
Georgia Rando,Georgia,Randolph County,2460.0000,90556.0000,91438.0000,68036.0000,606.0000,256.0000,808.0000,0.0000
Georgia Richm,Georgia,Richmond County,85790.0000,3911438.0000,3949496.0000,2812894.0000,45542.0000,20318.0000,48870.0000,602.0000
Georgia Rockd,Georgia,Rockdale County,40390.0000,1957478.0000,1977610.0000,1500420.0000,27324.0000,13738.0000,36478.0000,335.0000
Georgia Schle,Georgia,Schley County,1780.0000,78628.0000,79255.0000,65856.0000,489.0000,200.0000,696.0000,0.0000
Georgia Screv,Georgia,Screven County,5470.0000,250029.0000,252393.0000,183095.0000,1730.0000,796.0000,2282.0000,54.0000
Georgia Semin,Georgia,Seminole County,3300.0000,144321.0000,145992.0000,104982.0000,1444.0000,644.0000,1885.0000,0.0000
Georgia Spald,Georgia,Spalding County,27750.0000,1324806.0000,1337432.0000,924644.0000,12788.0000,6941.0000,16258.0000,106.0000
Georgia Steph,Georgia,Stephens County,10750.0000,509553.0000,514248.0000,362558.0000,4815.0000,2036.0000,4586.0000,0.0000
Georgia Stewa,Georgia,Stewart County,1500.0000,57125.0000,57397.0000,43281.0000,328.0000,150.0000,532.0000,0.0000
Georgia Sumte,Georgia,Sumter County,11420.0000,484817.0000,490466.0000,347710.0000,5214.0000,2601.0000,6151.0000,54.0000
Georgia Talbo,Georgia,Talbot County,2490.0000,96993.0000,97914.0000,75207.0000,736.0000,462.0000,1392.0000,99.0000
Georgia Talia,Georgia,Taliaferro County,600.0000,22660.0000,22805.0000,16285.0000,104.0000,45.0000,196.0000,0.0000
Georgia Tattn,Georgia,Tattnall County,7880.0000,348604.0000,353185.0000,245595.0000,3380.0000,1188.0000,3350.0000,0.0000
Georgia Taylo,Georgia,Taylor County,3080.0000,138234.0000,139703.0000,99589.0000,1317.0000,422.0000,1321.0000,30.0000
Georgia Telfa,Georgia,Telfair County,3720.0000,137216.0000,138729.0000,105746.0000,834.0000,434.0000,1315.0000,34.0000
Georgia Terre,Georgia,Terrell County,3760.0000,153138.0000,154829.0000,109344.0000,1605.0000,748.0000,1830.0000,0.0000
Georgia Thoma,Georgia,Thomas County,18710.0000,1048817.0000,1062690.0000,714877.0000,16176.0000,6859.0000,14413.0000,63.0000
Georgia Toomb,Georgia,Toombs County,10590.0000,509841.0000,514018.0000,378971.0000,5715.0000,1900.0000,5748.0000,58.0000
Georgia Towns,Georgia,Towns County,5540.0000,301194.0000,304474.0000,146637.0000,2704.0000,1300.0000,3199.0000,0.0000
Georgia Treut,Georgia,Treutlen County,2440.0000,98366.0000,99068.0000,76972.0000,714.0000,283.0000,998.0000,0.0000
Georgia Troup,Georgia,Troup County,28560.0000,1456060.0000,1470508.0000,1100096.0000,18103.0000,7597.0000,18099.0000,876.0000
Georgia Turne,Georgia,Turner County,3430.0000,124258.0000,125857.0000,103731.0000,926.0000,319.0000,1268.0000,15.0000
Georgia Twigg,Georgia,Twiggs County,3470.0000,144931.0000,145792.0000,107933.0000,1306.0000,559.0000,1586.0000,68.0000
Georgia Union,Georgia,Union County,10950.0000,598694.0000,605756.0000,323230.0000,4792.0000,2465.0000,6203.0000,26.0000
Georgia Upson,Georgia,Upson County,10860.0000,489628.0000,493981.0000,360166.0000,3194.0000,1531.0000,4221.0000,121.0000
Georgia Walke,Georgia,Walker County,26440.0000,1264448.0000,1277735.0000,958628.0000,9556.0000,4623.0000,10128.0000,51.0000
Georgia Walto,Georgia,Walton County,41160.0000,2474773.0000,2498800.0000,1806304.0000,32996.0000,19161.0000,40959.0000,168.0000
Georgia Warre,Georgia,Warren County,2270.0000,86076.0000,86720.0000,66999.0000,599.0000,294.0000,798.0000,0.0000
Georgia Washi,Georgia,Washington County,7750.0000,365482.0000,368571.0000,254548.0000,4222.0000,1821.0000,4452.0000,93.0000
Georgia Wayne,Georgia,Wayne County,10920.0000,514989.0000,519938.0000,381538.0000,4772.0000,2148.0000,5987.0000,37.0000
Georgia Webst,Georgia,Webster County,910.0000,32094.0000,32520.0000,29498.0000,201.0000,63.0000,295.0000,0.0000
Georgia Wheel,Georgia,Wheeler County,1810.0000,64604.0000,65284.0000,52109.0000,353.0000,94.0000,503.0000,0.0000
Georgia White,Georgia,White County,12210.0000,622955.0000,629521.0000,410707.0000,5584.0000,3283.0000,6916.0000,0.0000
Georgia Whitf,Georgia,Whitfield County,42730.0000,2620365.0000,2641890.0000,1616242.0000,30547.0000,8420.0000,18923.0000,94.0000
Georgia Wilco,Georgia,Wilcox County,2620.0000,99239.0000,100573.0000,78842.0000,682.0000,284.0000,1013.0000,0.0000
Georgia Wilke,Georgia,Wilkes County,4000.0000,173371.0000,175121.0000,123406.0000,1172.0000,616.0000,1575.0000,0.0000
Georgia Wilki,Georgia,Wilkinson County,3920.0000,164745.0000,165987.0000,120550.0000,930.0000,409.0000,1375.0000,229.0000
Georgia Worth,Georgia,Worth County,8250.0000,363092.0000,366896.0000,273089.0000,3445.0000,1610.0000,4681.0000,165.0000
Hawaii Hawai,Hawaii,Hawaii County,90210.0000,5051714.0000,5130259.0000,3237147.0000,82914.0000,26340.0000,64632.0000,3742.0000
Hawaii Honol,Hawaii,Honolulu County,486000.0000,34264817.000,34645288.000,23748460.000,722490.0000,193684.0000,580786.0000,19344.0000
Hawaii Kauai,Hawaii,Kauai County,36070.0000,2331259.0000,2362456.0000,1476651.0000,41904.0000,11350.0000,30735.0000,2077.0000
Idaho Adams,Idaho,Adams County,1900.0000,94542.0000,96010.0000,55117.0000,614.0000,285.0000,740.0000,0.0000
Idaho Banno,Idaho,Bannock County,35740.0000,1916700.0000,1938503.0000,1393450.0000,17794.0000,7792.0000,17879.0000,616.0000
Idaho Bear ,Idaho,Bear Lake County,2630.0000,130186.0000,131828.0000,94359.0000,743.0000,241.0000,824.0000,0.0000
Idaho Benew,Idaho,Benewah County,4050.0000,191066.0000,193655.0000,126675.0000,657.0000,327.0000,848.0000,0.0000
Idaho Bingh,Idaho,Bingham County,19210.0000,989824.0000,1002730.0000,742931.0000,9680.0000,3209.0000,9468.0000,324.0000
Idaho Blain,Idaho,Blaine County,12530.0000,1620676.0000,1650664.0000,577719.0000,57043.0000,15618.0000,18700.0000,182.0000
Idaho Boise,Idaho,Boise County,3430.0000,211741.0000,214632.0000,132100.0000,1988.0000,873.0000,2299.0000,146.0000
Idaho Bound,Idaho,Boundary County,5440.0000,268241.0000,271936.0000,162034.0000,1634.0000,824.0000,1898.0000,0.0000
Idaho Butte,Idaho,Butte County,1050.0000,50440.0000,51183.0000,36305.0000,190.0000,77.0000,256.0000,0.0000
Idaho Camas,Idaho,Camas County,460.0000,27030.0000,27473.0000,15770.0000,0.0000,0.0000,0.0000,0.0000
Idaho Canyo,Idaho,Canyon County,93890.0000,4860810.0000,4919568.0000,3502412.0000,38312.0000,18859.0000,41312.0000,2123.0000
Idaho Carib,Idaho,Caribou County,2810.0000,148999.0000,150972.0000,120460.0000,1086.0000,346.0000,1224.0000,0.0000
Idaho Cassi,Idaho,Cassia County,9860.0000,487923.0000,496638.0000,356912.0000,4428.0000,1096.0000,3911.0000,101.0000
Idaho Clark,Idaho,Clark County,310.0000,8123.0000,8217.0000,9098.0000,0.0000,0.0000,0.0000,0.0000
Idaho Clear,Idaho,Clearwater County,3430.0000,175803.0000,178305.0000,110940.0000,625.0000,366.0000,877.0000,0.0000
Idaho Custe,Idaho,Custer County,1990.0000,98801.0000,100540.0000,57708.0000,496.0000,163.0000,499.0000,0.0000
Idaho Elmor,Idaho,Elmore County,11960.0000,522875.0000,528761.0000,401326.0000,1636.0000,863.0000,2303.0000,97.0000
Idaho Frank,Idaho,Franklin County,5610.0000,287361.0000,291595.0000,214947.0000,2606.0000,897.0000,2769.0000,0.0000
Idaho Fremo,Idaho,Fremont County,5560.0000,246912.0000,250290.0000,179568.0000,1864.0000,909.0000,2236.0000,89.0000
Idaho Goodi,Idaho,Gooding County,6370.0000,225522.0000,229708.0000,212180.0000,1562.0000,375.0000,1346.0000,0.0000
Idaho Idaho,Idaho,Idaho County,6490.0000,321981.0000,327855.0000,188795.0000,1431.0000,597.0000,1753.0000,0.0000
Idaho Jeffe,Idaho,Jefferson County,11600.0000,651678.0000,660053.0000,490834.0000,7680.0000,2424.0000,7470.0000,363.0000
Idaho Jerom,Idaho,Jerome County,9590.0000,419898.0000,426808.0000,347534.0000,2415.0000,754.0000,2340.0000,146.0000
Idaho Koote,Idaho,Kootenai County,79490.0000,5072265.0000,5145258.0000,3238989.0000,61895.0000,30005.0000,58021.0000,326.0000
Idaho Latah,Idaho,Latah County,16470.0000,994142.0000,1010134.0000,648540.0000,7609.0000,3797.0000,8000.0000,0.0000
Idaho Lemhi,Idaho,Lemhi County,3690.0000,177794.0000,180353.0000,98931.0000,1195.0000,384.0000,1286.0000,0.0000
Idaho Lewis,Idaho,Lewis County,1710.0000,65355.0000,66527.0000,51708.0000,292.0000,138.0000,371.0000,0.0000
Idaho Linco,Idaho,Lincoln County,2040.0000,85704.0000,86868.0000,69869.0000,103.0000,60.0000,222.0000,0.0000
Idaho Madis,Idaho,Madison County,14370.0000,637114.0000,646532.0000,461369.0000,8919.0000,3524.0000,9031.0000,256.0000
Idaho Minid,Idaho,Minidoka County,9050.0000,424370.0000,429728.0000,321671.0000,2428.0000,679.0000,2290.0000,0.0000
Idaho Nez P,Idaho,Nez Perce County,18690.0000,1059343.0000,1074689.0000,717017.0000,6787.0000,3761.0000,7397.0000,0.0000
Idaho Oneid,Idaho,Oneida County,1900.0000,55601.0000,56607.0000,65774.0000,489.0000,202.0000,654.0000,0.0000
Idaho Owyhe,Idaho,Owyhee County,4860.0000,205258.0000,208821.0000,156411.0000,1103.0000,400.0000,1192.0000,0.0000
Idaho Payet,Idaho,Payette County,10310.0000,585837.0000,592265.0000,378153.0000,4434.0000,1388.0000,4021.0000,133.0000
Idaho Power,Idaho,Power County,3220.0000,145579.0000,148042.0000,110881.0000,856.0000,384.0000,998.0000,0.0000
Idaho Shosh,Idaho,Shoshone County,5570.0000,249683.0000,252109.0000,182912.0000,885.0000,424.0000,1229.0000,0.0000
Idaho Teton,Idaho,Teton County,5260.0000,343745.0000,351400.0000,212871.0000,4624.0000,1895.0000,4056.0000,0.0000
Idaho Twin ,Idaho,Twin Falls County,37610.0000,1897656.0000,1926019.0000,1416838.0000,19572.0000,7511.0000,16800.0000,960.0000
Idaho Valle,Idaho,Valley County,5540.0000,410161.0000,417665.0000,198140.0000,5039.0000,2329.0000,4279.0000,45.0000
Idaho Washi,Idaho,Washington County,4290.0000,193918.0000,196427.0000,130339.0000,964.0000,417.0000,1244.0000,0.0000
Illinois Adams,Illinois,Adams County,31520.0000,1936837.0000,1961806.0000,1283757.0000,14183.0000,6248.0000,10772.0000,281.0000
Illinois Alexa,Illinois,Alexander County,2280.0000,90248.0000,91263.0000,61766.0000,120.0000,31.0000,175.0000,0.0000
Illinois Boone,Illinois,Boone County,25820.0000,1720232.0000,1740687.0000,1274503.0000,15386.0000,13500.0000,17563.0000,181.0000
Illinois Brown,Illinois,Brown County,2290.0000,123296.0000,125173.0000,84046.0000,424.0000,206.0000,561.0000,0.0000
Illinois Burea,Illinois,Bureau County,16540.0000,926011.0000,939980.0000,617477.0000,3811.0000,2738.0000,4331.0000,48.0000
Illinois Calho,Illinois,Calhoun County,2080.0000,119869.0000,121591.0000,82430.0000,351.0000,279.0000,518.0000,0.0000
Illinois Carro,Illinois,Carroll County,7300.0000,402557.0000,410016.0000,246895.0000,1406.0000,1263.0000,2088.0000,0.0000
Illinois Champ,Illinois,Champaign County,84710.0000,5741304.0000,5809853.0000,3831361.0000,54440.0000,35997.0000,49081.0000,832.0000
Illinois Chris,Illinois,Christian County,15080.0000,825445.0000,837640.0000,546413.0000,2384.0000,1561.0000,3075.0000,0.0000
Illinois Clark,Illinois,Clark County,7300.0000,401073.0000,407499.0000,263425.0000,1602.0000,775.0000,1822.0000,0.0000
Illinois Clint,Illinois,Clinton County,17440.0000,1152356.0000,1169786.0000,803886.0000,5863.0000,3083.0000,5447.0000,376.0000
Illinois Coles,Illinois,Coles County,20800.0000,1134820.0000,1150602.0000,726195.0000,5819.0000,3257.0000,5453.0000,0.0000
Illinois Crawf,Illinois,Crawford County,8440.0000,475298.0000,480774.0000,315911.0000,1844.0000,1293.0000,2336.0000,0.0000
Illinois Cumbe,Illinois,Cumberland County,4870.0000,262029.0000,266348.0000,179925.0000,744.0000,388.0000,835.0000,0.0000
Illinois DeKal,Illinois,DeKalb County,46670.0000,2840514.0000,2873729.0000,2031749.0000,18171.0000,22040.0000,29566.0000,328.0000
Illinois De Wi,Illinois,De Witt County,7570.0000,452068.0000,458757.0000,306573.0000,2378.0000,1502.0000,2636.0000,0.0000
Illinois Dougl,Illinois,Douglas County,9940.0000,549286.0000,557923.0000,357930.0000,2242.0000,1362.0000,2486.0000,0.0000
Illinois DuPag,Illinois,DuPage County,469520.0000,48974671.000,49630251.000,33267815.000,866060.0000,706539.0000,756162.0000,2684.0000
Illinois Edgar,Illinois,Edgar County,7850.0000,410499.0000,417562.0000,270031.0000,1297.0000,730.0000,1521.0000,0.0000
Illinois Edwar,Illinois,Edwards County,2880.0000,148449.0000,151230.0000,98319.0000,358.0000,272.0000,492.0000,0.0000
Illinois Effin,Illinois,Effingham County,17520.0000,1113715.0000,1135025.0000,730173.0000,8117.0000,3714.0000,6133.0000,79.0000
Illinois Fayet,Illinois,Fayette County,8940.0000,447697.0000,454039.0000,296310.0000,1436.0000,910.0000,1936.0000,0.0000
Illinois Frank,Illinois,Franklin County,16240.0000,779909.0000,787814.0000,555448.0000,2120.0000,1391.0000,2911.0000,0.0000
Illinois Fulto,Illinois,Fulton County,15270.0000,782842.0000,792167.0000,535261.0000,2230.0000,1409.0000,2713.0000,77.0000
Illinois Galla,Illinois,Gallatin County,2170.0000,115597.0000,117810.0000,74237.0000,332.0000,119.0000,401.0000,0.0000
Illinois Green,Illinois,Greene County,5560.0000,266270.0000,270689.0000,186311.0000,527.0000,297.0000,707.0000,0.0000
Illinois Grund,Illinois,Grundy County,25520.0000,1829573.0000,1847009.0000,1308752.0000,14323.0000,12398.0000,18528.0000,102.0000
Illinois Hamil,Illinois,Hamilton County,3610.0000,188055.0000,191077.0000,123917.0000,673.0000,284.0000,729.0000,0.0000
Illinois Hanco,Illinois,Hancock County,8450.0000,456378.0000,464884.0000,300548.0000,1817.0000,933.0000,1927.0000,147.0000
Illinois Hardi,Illinois,Hardin County,1480.0000,67426.0000,67813.0000,45982.0000,0.0000,0.0000,0.0000,0.0000
Illinois Hende,Illinois,Henderson County,3130.0000,158650.0000,161485.0000,105791.0000,443.0000,204.0000,545.0000,0.0000
Illinois Henry,Illinois,Henry County,23810.0000,1480534.0000,1500126.0000,975461.0000,6142.0000,4767.0000,7603.0000,195.0000
Illinois Iroqu,Illinois,Iroquois County,13130.0000,722512.0000,737301.0000,460482.0000,2508.0000,1911.0000,3439.0000,61.0000
Illinois Jacks,Illinois,Jackson County,21840.0000,1180274.0000,1194891.0000,732710.0000,7459.0000,5002.0000,7334.0000,226.0000
Illinois Jaspe,Illinois,Jasper County,4630.0000,251166.0000,257430.0000,163765.0000,627.0000,374.0000,882.0000,0.0000
Illinois Jeffe,Illinois,Jefferson County,16330.0000,852106.0000,863617.0000,593483.0000,4760.0000,2814.0000,4688.0000,56.0000
Illinois Jerse,Illinois,Jersey County,10190.0000,593638.0000,600680.0000,416547.0000,2352.0000,1760.0000,3037.0000,48.0000
Illinois Jo Da,Illinois,Jo Daviess County,11740.0000,689690.0000,700784.0000,409635.0000,4071.0000,3930.0000,5335.0000,133.0000
Illinois Johns,Illinois,Johnson County,4920.0000,258165.0000,260558.0000,167231.0000,778.0000,635.0000,1220.0000,0.0000
Illinois Kanka,Illinois,Kankakee County,50160.0000,2914868.0000,2945182.0000,2103706.0000,16769.0000,17096.0000,25576.0000,174.0000
Illinois Kenda,Illinois,Kendall County,60540.0000,4529136.0000,4573683.0000,3646589.0000,45167.0000,64043.0000,76653.0000,464.0000
Illinois LaSal,Illinois,LaSalle County,54010.0000,3175283.0000,3215426.0000,2216251.0000,14093.0000,12499.0000,19294.0000,105.0000
Illinois Lawre,Illinois,Lawrence County,6110.0000,307744.0000,311404.0000,211211.0000,513.0000,253.0000,687.0000,0.0000
Illinois Livin,Illinois,Livingston County,16890.0000,1007854.0000,1028629.0000,626691.0000,3905.0000,3232.0000,5408.0000,37.0000
Illinois Logan,Illinois,Logan County,12310.0000,687029.0000,698629.0000,443185.0000,2293.0000,1787.0000,3347.0000,41.0000
Illinois McDon,Illinois,McDonough County,11620.0000,622966.0000,631698.0000,387802.0000,2693.0000,2086.0000,3403.0000,46.0000
Illinois McHen,Illinois,McHenry County,156390.0000,12169946.000,12303963.000,9005356.0000,133621.0000,163415.0000,183602.0000,455.0000
Illinois McLea,Illinois,McLean County,76400.0000,5740993.0000,5812140.0000,4040804.0000,52620.0000,43685.0000,57685.0000,497.0000
Illinois Macon,Illinois,Macon County,47630.0000,2909224.0000,2942158.0000,1954647.0000,18180.0000,11897.0000,17635.0000,192.0000
Illinois Macou,Illinois,Macoupin County,21000.0000,1144331.0000,1158641.0000,792991.0000,3238.0000,2012.0000,4222.0000,276.0000
Illinois Madis,Illinois,Madison County,125310.0000,8156905.0000,8236580.0000,5773589.0000,59942.0000,42024.0000,62544.0000,1017.0000
Illinois Mario,Illinois,Marion County,17490.0000,857762.0000,866915.0000,591653.0000,2830.0000,1804.0000,3200.0000,87.0000
Illinois Marsh,Illinois,Marshall County,5730.0000,329522.0000,334282.0000,216826.0000,943.0000,829.0000,1454.0000,0.0000
Illinois Mason,Illinois,Mason County,6200.0000,321114.0000,326459.0000,208740.0000,728.0000,638.0000,1214.0000,0.0000
Illinois Massa,Illinois,Massac County,6090.0000,297508.0000,299978.0000,204007.0000,1049.0000,616.0000,1434.0000,0.0000
Illinois Menar,Illinois,Menard County,6040.0000,397785.0000,402315.0000,261623.0000,1489.0000,1434.0000,2444.0000,0.0000
Illinois Merce,Illinois,Mercer County,7690.0000,452387.0000,458601.0000,304987.0000,1526.0000,1110.0000,2006.0000,0.0000
Illinois Monro,Illinois,Monroe County,17400.0000,1416745.0000,1432406.0000,1003679.0000,12444.0000,7391.0000,12369.0000,217.0000
Illinois Montg,Illinois,Montgomery County,12330.0000,686911.0000,697408.0000,442828.0000,2175.0000,1510.0000,2782.0000,151.0000
Illinois Morga,Illinois,Morgan County,15260.0000,854074.0000,866908.0000,536226.0000,3829.0000,2392.0000,4204.0000,103.0000
Illinois Moult,Illinois,Moultrie County,6620.0000,389910.0000,395278.0000,247369.0000,3338.0000,1040.0000,2028.0000,0.0000
Illinois Peori,Illinois,Peoria County,85880.0000,6078465.0000,6137503.0000,4185102.0000,59921.0000,39612.0000,50037.0000,358.0000
Illinois Perry,Illinois,Perry County,8630.0000,436855.0000,441674.0000,310318.0000,967.0000,701.0000,1547.0000,0.0000
Illinois Piatt,Illinois,Piatt County,8050.0000,572895.0000,580416.0000,372622.0000,3567.0000,2200.0000,3623.0000,0.0000
Illinois Pulas,Illinois,Pulaski County,2260.0000,98258.0000,99287.0000,67732.0000,168.0000,74.0000,258.0000,0.0000
Illinois Putna,Illinois,Putnam County,2940.0000,186502.0000,189748.0000,120838.0000,578.0000,405.0000,788.0000,0.0000
Illinois Rando,Illinois,Randolph County,13330.0000,737927.0000,746086.0000,493516.0000,2329.0000,1246.0000,2667.0000,0.0000
Illinois Richl,Illinois,Richland County,7240.0000,369297.0000,376089.0000,246390.0000,1284.0000,929.0000,1708.0000,0.0000
Illinois Rock ,Illinois,Rock Island County,69070.0000,3929043.0000,3962396.0000,2656985.0000,19962.0000,17406.0000,24231.0000,163.0000
Illinois St. C,Illinois,St. Clair County,119910.0000,7376767.0000,7452915.0000,5219568.0000,51961.0000,41492.0000,63570.0000,964.0000
Illinois Salin,Illinois,Saline County,9980.0000,510709.0000,516528.0000,344527.0000,2744.0000,1336.0000,2497.0000,0.0000
Illinois Sanga,Illinois,Sangamon County,98210.0000,7051547.0000,7140040.0000,4285832.0000,51658.0000,34212.0000,50321.0000,577.0000
Illinois Schuy,Illinois,Schuyler County,3120.0000,162481.0000,165407.0000,105762.0000,312.0000,281.0000,556.0000,0.0000
Illinois Scott,Illinois,Scott County,2420.0000,132641.0000,135031.0000,86525.0000,336.0000,147.0000,388.0000,0.0000
Illinois Shelb,Illinois,Shelby County,10150.0000,557947.0000,568221.0000,368267.0000,1794.0000,989.0000,2119.0000,0.0000
Illinois Stark,Illinois,Stark County,2610.0000,150179.0000,153248.0000,87840.0000,474.0000,385.0000,684.0000,0.0000
Illinois Steph,Illinois,Stephenson County,21920.0000,1141562.0000,1159244.0000,760449.0000,5267.0000,4121.0000,6604.0000,183.0000
Illinois Tazew,Illinois,Tazewell County,63460.0000,4280560.0000,4324688.0000,2952646.0000,33143.0000,23308.0000,34299.0000,372.0000
Illinois Union,Illinois,Union County,7540.0000,381840.0000,386256.0000,253476.0000,1467.0000,1003.0000,1929.0000,0.0000
Illinois Vermi,Illinois,Vermilion County,32570.0000,1593044.0000,1610559.0000,1090119.0000,5239.0000,3454.0000,6237.0000,91.0000
Illinois Wabas,Illinois,Wabash County,5040.0000,296443.0000,300571.0000,189264.0000,1312.0000,563.0000,1114.0000,0.0000
Illinois Warre,Illinois,Warren County,7700.0000,409681.0000,418041.0000,267527.0000,1133.0000,775.0000,1606.0000,0.0000
Illinois Washi,Illinois,Washington County,6790.0000,437075.0000,445724.0000,286649.0000,2328.0000,1419.0000,2421.0000,142.0000
Illinois Wayne,Illinois,Wayne County,7190.0000,354051.0000,360512.0000,235378.0000,1363.0000,818.0000,1521.0000,0.0000
Illinois Willi,Illinois,Williamson County,29840.0000,1682357.0000,1700753.0000,1165507.0000,9238.0000,6343.0000,10491.0000,313.0000
Illinois Winne,Illinois,Winnebago County,135990.0000,7753237.0000,7833163.0000,5563416.0000,48451.0000,42328.0000,61333.0000,539.0000
Illinois Woodf,Illinois,Woodford County,18140.0000,1479302.0000,1498813.0000,960256.0000,14561.0000,8975.0000,12730.0000,216.0000
Indiana Adams,Indiana,Adams County,15340.0000,834271.0000,845046.0000,532639.0000,7890.0000,1249.0000,3911.0000,75.0000
Indiana Allen,Indiana,Allen County,182340.0000,11236775.000,11368591.000,7989159.0000,115657.0000,33311.0000,76297.0000,819.0000
Indiana Barth,Indiana,Bartholomew County,39640.0000,2823614.0000,2846542.0000,2036781.0000,32279.0000,8400.0000,20426.0000,194.0000
Indiana Bento,Indiana,Benton County,4180.0000,206106.0000,210183.0000,147758.0000,782.0000,135.0000,762.0000,0.0000
Indiana Black,Indiana,Blackford County,5720.0000,257382.0000,260268.0000,188649.0000,794.0000,146.0000,665.0000,0.0000
Indiana Boone,Indiana,Boone County,32670.0000,3748984.0000,3799263.0000,2535382.0000,79478.0000,24968.0000,46613.0000,194.0000
Indiana Brown,Indiana,Brown County,7740.0000,455563.0000,461175.0000,305273.0000,4286.0000,1073.0000,3599.0000,53.0000
Indiana Carro,Indiana,Carroll County,9810.0000,532978.0000,539254.0000,388118.0000,2744.0000,663.0000,2621.0000,101.0000
Indiana Clark,Indiana,Clark County,57970.0000,3210590.0000,3238027.0000,2439149.0000,25349.0000,7432.0000,23085.0000,148.0000
Indiana Clint,Indiana,Clinton County,15390.0000,767301.0000,774879.0000,573700.0000,3667.0000,797.0000,3348.0000,50.0000
Indiana Crawf,Indiana,Crawford County,4670.0000,196985.0000,198507.0000,151194.0000,476.0000,217.0000,650.0000,0.0000
Indiana Davie,Indiana,Daviess County,14670.0000,779336.0000,791845.0000,510228.0000,6262.0000,873.0000,3005.0000,123.0000
Indiana Dearb,Indiana,Dearborn County,25020.0000,1560153.0000,1573900.0000,1151688.0000,8442.0000,3217.0000,8748.0000,198.0000
Indiana Decat,Indiana,Decatur County,13000.0000,688926.0000,696463.0000,523450.0000,3999.0000,890.0000,3505.0000,142.0000
Indiana DeKal,Indiana,DeKalb County,21010.0000,1172044.0000,1183565.0000,867073.0000,8873.0000,1914.0000,5874.0000,171.0000
Indiana Delaw,Indiana,Delaware County,47870.0000,2364073.0000,2388141.0000,1689527.0000,15501.0000,4575.0000,12472.0000,194.0000
Indiana Duboi,Indiana,Dubois County,22490.0000,1501278.0000,1524162.0000,998963.0000,13027.0000,2393.0000,6215.0000,194.0000
Indiana Elkha,Indiana,Elkhart County,96080.0000,5876721.0000,5933280.0000,4240616.0000,70916.0000,16496.0000,38781.0000,855.0000
Indiana Fayet,Indiana,Fayette County,10220.0000,451357.0000,456045.0000,335911.0000,1244.0000,399.0000,1290.0000,0.0000
Indiana Floyd,Indiana,Floyd County,38940.0000,2645483.0000,2673538.0000,1870264.0000,28082.0000,7571.0000,21928.0000,160.0000
Indiana Fount,Indiana,Fountain County,7850.0000,387663.0000,391806.0000,285296.0000,1373.0000,328.0000,1403.0000,0.0000
Indiana Frank,Indiana,Franklin County,10820.0000,679943.0000,687784.0000,480695.0000,3801.0000,1150.0000,3276.0000,108.0000
Indiana Fulto,Indiana,Fulton County,9460.0000,486139.0000,492392.0000,338383.0000,2722.0000,653.0000,2088.0000,24.0000
Indiana Gibso,Indiana,Gibson County,15940.0000,881016.0000,889094.0000,667143.0000,2873.0000,1064.0000,3182.0000,85.0000
Indiana Grant,Indiana,Grant County,29030.0000,1337347.0000,1350935.0000,960396.0000,9065.0000,1580.0000,6438.0000,127.0000
Indiana Green,Indiana,Greene County,14360.0000,719565.0000,725455.0000,530731.0000,2229.0000,768.0000,2683.0000,60.0000
Indiana Hamil,Indiana,Hamilton County,160610.0000,18855808.000,19096387.000,12832763.000,341655.0000,122840.0000,228995.0000,699.0000
Indiana Hanco,Indiana,Hancock County,38570.0000,2692795.0000,2721537.0000,1963936.0000,27009.0000,7768.0000,22343.0000,124.0000
Indiana Harri,Indiana,Harrison County,18590.0000,1033677.0000,1042045.0000,789436.0000,5427.0000,1558.0000,5646.0000,36.0000
Indiana Hendr,Indiana,Hendricks County,82160.0000,5913862.0000,5971185.0000,4525308.0000,56353.0000,20933.0000,57312.0000,426.0000
Indiana Henry,Indiana,Henry County,21670.0000,1056428.0000,1065928.0000,772868.0000,4713.0000,1370.0000,4274.0000,88.0000
Indiana Howar,Indiana,Howard County,40740.0000,2170146.0000,2187786.0000,1555260.0000,13565.0000,3664.0000,12568.0000,141.0000
Indiana Hunti,Indiana,Huntington County,17710.0000,927633.0000,937676.0000,689993.0000,5321.0000,1445.0000,4550.0000,180.0000
Indiana Jacks,Indiana,Jackson County,21360.0000,1151869.0000,1162052.0000,921437.0000,7125.0000,1350.0000,5673.0000,50.0000
Indiana Jaspe,Indiana,Jasper County,15520.0000,883404.0000,894010.0000,647677.0000,6767.0000,1418.0000,5850.0000,0.0000
Indiana Jeffe,Indiana,Jefferson County,14610.0000,777510.0000,784510.0000,557188.0000,3681.0000,1094.0000,3440.0000,0.0000
Indiana Jenni,Indiana,Jennings County,12790.0000,597042.0000,601184.0000,468887.0000,2773.0000,585.0000,2138.0000,24.0000
Indiana Johns,Indiana,Johnson County,76150.0000,5275826.0000,5331092.0000,3850461.0000,49304.0000,17499.0000,44447.0000,236.0000
Indiana Kosci,Indiana,Kosciusko County,38840.0000,2476799.0000,2503005.0000,1723280.0000,21229.0000,6469.0000,15382.0000,375.0000
Indiana LaGra,Indiana,LaGrange County,17700.0000,1012368.0000,1021221.0000,739663.0000,5583.0000,1279.0000,4283.0000,291.0000
