Hash,State,County,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable
Alaska Ancho,Alaska,Anchorage Municipality,129,299320,0.937984496,0.062015504,1,108.6,100.7,0.769478458
Alaska Bethe,Alaska,Bethel Census Area,6,17885,0.833333333,0.166666667,6,,,0.769478458
Alaska Brist,Alaska,Bristol Bay Borough,3,940,0.333333333,0.666666667,1,,,0.769478458
Alaska Denal,Alaska,Denali Borough,23,2125,1,0,0,83.1,80.9,0.769478458
Alaska Dilli,Alaska,Dillingham Census Area,11,4980,0.727272727,0.272727273,1,,,0.769478458
Alaska Fairb,Alaska,Fairbanks North Star Borough,98,100150,0.897959184,0.102040816,1,77.4,36.5,0.769478458
Alaska Haine,Alaska,Haines Borough,13,2530,0.846153846,0.153846154,1,,,0.769478458
Alaska Junea,Alaska,Juneau City and Borough,53,32525,0.943396226,0.056603774,1,,,0.769478458
Alaska Kenai,Alaska,Kenai Peninsula Borough,86,57635,0.860465116,0.139534884,3,52.9,51.7,0.769478458
Alaska Ketch,Alaska,Ketchikan Gateway Borough,92,13715,0.826086957,0.173913043,1,,,0.769478458
Alaska Kodia,Alaska,Kodiak Island Borough,24,13920,0.958333333,0.041666667,1,,,0.769478458
Alaska Lake ,Alaska,Lake and Peninsula Borough,6,1410,1,0,1,,,0.769478458
Alaska Matan,Alaska,Matanuska-Susitna Borough,115,98680,0.939130435,0.060869565,0,201.3,193.8,0.769478458
Alaska Nome ,Alaska,Nome Census Area,30,9880,0.933333333,0.066666667,8,,,0.769478458
Alaska Sitka,Alaska,Sitka City and Borough,35,8920,0.857142857,0.142857143,1,,,0.769478458
Alaska Skagw,Alaska,Skagway Municipality,,1015,,,1,18.4,18.4,0.769478458
Alaska South,Alaska,Southeast Fairbanks Census Area,71,6970,0.901408451,0.098591549,0,,,0.769478458
Alaska Valde,Alaska,Valdez-Cordova Census Area,108,9520,0.916666667,0.083333333,2,3.1,3.1,0.769478458
Alaska Wrang,Alaska,Wrangell City and Borough,,2400,,,1,,,0.769478458
Alaska Yakut,Alaska,Yakutat City and Borough,3,645,1,0,1,,,0.769478458
Alaska Yukon,Alaska,Yukon-Koyukuk Census Area,73,5600,0.890410959,0.109589041,3,38.3,38.3,0.769478458
Arizona Apach,Arizona,Apache County,256,72345,0.96875,0.03125,0,124,53.7,0.813937707
Arizona Cochi,Arizona,Cochise County,501,128175,0.974051896,0.025948104,0,139.3,101.6,0.813937707
Arizona Cocon,Arizona,Coconino County,403,138065,0.975186104,0.024813896,1,285.6,196.2,0.813937707
Arizona Graha,Arizona,Graham County,168,37530,0.952380952,0.047619048,0,90.2,0,0.813937707
Arizona Green,Arizona,Greenlee County,89,9225,0.943820225,0.056179775,0,41.2,0,0.813937707
Arizona La Pa,Arizona,La Paz County,302,20305,0.947019868,0.052980132,0,75.1,0,0.813937707
Arizona Maric,Arizona,Maricopa County,2702,4088550,0.998519615,0.001480385,1,296.2,68.9,0.813937707
Arizona Mohav,Arizona,Mohave County,623,203630,0.983948636,0.016051364,0,122.8,119.5,0.813937707
Arizona Navaj,Arizona,Navajo County,267,108210,0.966292135,0.033707865,1,118.5,54.7,0.813937707
Arizona Pinal,Arizona,Pinal County,704,397605,0.984375,0.015625,0,200.7,69.3,0.813937707
Arizona Santa,Arizona,Santa Cruz County,133,46545,0.984962406,0.015037594,0,30.2,0,0.813937707
Arizona Yavap,Arizona,Yavapai County,540,218585,0.987037037,0.012962963,1,213.9,48.4,0.813937707
Arkansas Arkan,Arkansas,Arkansas County,157,18570,0.98089172,0.01910828,0,19.7,0,0.796760502
Arkansas Ashle,Arkansas,Ashley County,103,20990,1,0,0,53.9,0,0.796760502
Arkansas Baxte,Arkansas,Baxter County,82,40990,1,0,0,35.2,0,0.796760502
Arkansas Bento,Arkansas,Benton County,385,245230,0.927272727,0.072727273,1,64.4,0,0.796760502
Arkansas Boone,Arkansas,Boone County,97,37300,0.969072165,0.030927835,1,30,0,0.796760502
Arkansas Bradl,Arkansas,Bradley County,109,11095,0.990825688,0.009174312,0,38.2,0,0.796760502
Arkansas Calho,Arkansas,Calhoun County,109,5210,0.963302752,0.036697248,0,37.1,0,0.796760502
Arkansas Carro,Arkansas,Carroll County,115,27690,0.965217391,0.034782609,0,,,0.796760502
Arkansas Chico,Arkansas,Chicot County,90,11190,0.988888889,0.011111111,0,48.7,0,0.796760502
Arkansas Clark,Arkansas,Clark County,204,22685,0.965686275,0.034313725,0,34.9,29.6,0.796760502
Arkansas Clebu,Arkansas,Cleburne County,52,25585,1,0,0,,,0.796760502
Arkansas Cleve,Arkansas,Cleveland County,84,8420,0.988095238,0.011904762,,21.3,0,0.796760502
Arkansas Colum,Arkansas,Columbia County,132,24170,0.984848485,0.015151515,0,47.1,0,0.796760502
Arkansas Conwa,Arkansas,Conway County,122,21060,0.991803279,0.008196721,0,22,0,0.796760502
Arkansas Craig,Arkansas,Craighead County,436,102885,0.95412844,0.04587156,1,70.9,0,0.796760502
Arkansas Crawf,Arkansas,Crawford County,248,61925,0.899193548,0.100806452,0,56.1,32.3,0.796760502
Arkansas Critt,Arkansas,Crittenden County,234,49510,0.97008547,0.02991453,0,88.5,0,0.796760502
Arkansas Cross,Arkansas,Cross County,129,17330,0.937984496,0.062015504,0,69.8,0,0.796760502
Arkansas Dalla,Arkansas,Dallas County,110,7740,0.936363636,0.063636364,0,7.3,0,0.796760502
Arkansas Desha,Arkansas,Desha County,83,12235,0.975903614,0.024096386,0,48.2,0,0.796760502
Arkansas Faulk,Arkansas,Faulkner County,210,120415,0.985714286,0.014285714,0,19.4,0,0.796760502
Arkansas Frank,Arkansas,Franklin County,140,17800,0.914285714,0.085714286,0,24.7,0,0.796760502
Arkansas Fulto,Arkansas,Fulton County,102,12185,0.950980392,0.049019608,0,13.9,0,0.796760502
Arkansas Garla,Arkansas,Garland County,300,97120,0.98,0.02,1,23.3,0,0.796760502
Arkansas Grant,Arkansas,Grant County,119,18045,1,0,0,,,0.796760502
Arkansas Green,Arkansas,Greene County,246,43745,0.943089431,0.056910569,0,32.8,9.7,0.796760502
Arkansas Hemps,Arkansas,Hempstead County,175,22210,0.977142857,0.022857143,0,80.1,21.7,0.796760502
Arkansas Hot S,Arkansas,Hot Spring County,222,33440,0.932432432,0.067567568,0,38.5,26.3,0.796760502
Arkansas Howar,Arkansas,Howard County,117,13485,0.965811966,0.034188034,0,43.4,0,0.796760502
Arkansas Indep,Arkansas,Independence County,183,37030,0.989071038,0.010928962,0,51.3,1,0.796760502
Arkansas Izard,Arkansas,Izard County,98,13460,0.979591837,0.020408163,0,41.7,0,0.796760502
Arkansas Jacks,Arkansas,Jackson County,136,17495,0.985294118,0.014705882,0,42.1,36.4,0.796760502
Arkansas Jeffe,Arkansas,Jefferson County,347,72385,0.959654179,0.040345821,0,92.4,0,0.796760502
Arkansas Johns,Arkansas,Johnson County,158,26025,0.981012658,0.018987342,0,27.1,0,0.796760502
Arkansas Lafay,Arkansas,Lafayette County,72,7125,0.958333333,0.041666667,,40.9,0,0.796760502
Arkansas Lawre,Arkansas,Lawrence County,127,16915,0.937007874,0.062992126,0,62.4,23.1,0.796760502
Arkansas Linco,Arkansas,Lincoln County,110,13935,0.972727273,0.027272727,0,13.6,0,0.796760502
Arkansas Littl,Arkansas,Little River County,86,12615,0.906976744,0.093023256,0,85.4,0,0.796760502
Arkansas Logan,Arkansas,Logan County,153,21935,0.934640523,0.065359477,0,,,0.796760502
Arkansas Lonok,Arkansas,Lonoke County,185,71280,0.951351351,0.048648649,0,13.4,13.4,0.796760502
Arkansas Madis,Arkansas,Madison County,148,15760,0.783783784,0.216216216,0,,,0.796760502
Arkansas Mario,Arkansas,Marion County,63,16405,0.984126984,0.015873016,0,23.8,0,0.796760502
Arkansas Mille,Arkansas,Miller County,215,43665,0.995348837,0.004651163,1,46.6,18.8,0.796760502
Arkansas Missi,Arkansas,Mississippi County,310,44200,0.909677419,0.090322581,0,73.4,0,0.796760502
Arkansas Monro,Arkansas,Monroe County,86,7540,0.953488372,0.046511628,0,37.7,0,0.796760502
Arkansas Montg,Arkansas,Montgomery County,202,9100,0.97029703,0.02970297,0,,,0.796760502
Arkansas Nevad,Arkansas,Nevada County,134,8670,0.940298507,0.059701493,0,16.5,13.8,0.796760502
Arkansas Newto,Arkansas,Newton County,63,7990,0.952380952,0.047619048,0,,,0.796760502
Arkansas Ouach,Arkansas,Ouachita County,167,24730,0.982035928,0.017964072,0,67.8,0,0.796760502
Arkansas Perry,Arkansas,Perry County,118,10245,0.966101695,0.033898305,0,36,0,0.796760502
Arkansas Phill,Arkansas,Phillips County,113,19930,0.769911504,0.230088496,0,18.4,0,0.796760502
Arkansas Poins,Arkansas,Poinsett County,200,24130,0.87,0.13,0,61.1,0,0.796760502
Arkansas Prair,Arkansas,Prairie County,93,8335,0.870967742,0.129032258,0,4.4,0,0.796760502
Arkansas Pulas,Arkansas,Pulaski County,708,391805,0.973163842,0.026836158,1,136.9,29.6,0.796760502
Arkansas Rando,Arkansas,Randolph County,150,17585,0.96,0.04,0,2.7,2.5,0.796760502
Arkansas St. F,Arkansas,St. Francis County,205,27025,0.970731707,0.029268293,0,60.9,0,0.796760502
Arkansas Salin,Arkansas,Saline County,218,115575,0.949541284,0.050458716,0,24.4,21.1,0.796760502
Arkansas Scott,Arkansas,Scott County,196,10660,0.954081633,0.045918367,0,22.6,0,0.796760502
Arkansas Searc,Arkansas,Searcy County,65,7940,0.969230769,0.030769231,0,,,0.796760502
Arkansas Sebas,Arkansas,Sebastian County,328,127350,0.945121951,0.054878049,1,36.6,0,0.796760502
Arkansas Sevie,Arkansas,Sevier County,164,17195,0.914634146,0.085365854,0,56.1,0,0.796760502
Arkansas Sharp,Arkansas,Sharp County,109,17025,0.963302752,0.036697248,0,16.8,0,0.796760502
Arkansas Stone,Arkansas,Stone County,73,12505,1,0,0,,,0.796760502
Arkansas Union,Arkansas,Union County,285,40335,0.985964912,0.014035088,1,39.9,0,0.796760502
Arkansas Van B,Arkansas,Van Buren County,98,16890,0.969387755,0.030612245,0,,,0.796760502
Arkansas Washi,Arkansas,Washington County,447,219930,0.959731544,0.040268456,0,37.3,24.9,0.796760502
Arkansas White,Arkansas,White County,308,78825,0.983766234,0.016233766,0,54.3,39,0.796760502
Arkansas Woodr,Arkansas,Woodruff County,78,6875,0.974358974,0.025641026,0,36.8,0,0.796760502
California Alame,California,Alameda County,650,1605215,0.933846154,0.066153846,1,200.3,155.8,0.58749769
California Alpin,California,Alpine County,32,1185,0.9375,0.0625,0,,,0.58749769
California Amado,California,Amador County,60,36965,0.933333333,0.066666667,0,4.3,0,0.58749769
California Butte,California,Butte County,437,223875,0.940503432,0.059496568,0,96.7,45.9,0.58749769
California Calav,California,Calaveras County,105,44785,0.876190476,0.123809524,0,,,0.58749769
California Colus,California,Colusa County,212,21360,0.882075472,0.117924528,0,34.4,0,0.58749769
California Contr,California,Contra Costa County,607,1107925,0.940691928,0.059308072,1,183.9,84,0.58749769
California Del N,California,Del Norte County,95,27630,0.842105263,0.157894737,0,,,0.58749769
California El Do,California,El Dorado County,184,183000,0.89673913,0.10326087,0,,,0.58749769
California Fresn,California,Fresno County,897,963160,0.914158305,0.085841695,1,183.5,33.6,0.58749769
California Glenn,California,Glenn County,241,27975,0.908713693,0.091286307,0,39.3,0,0.58749769
California Humbo,California,Humboldt County,396,135180,0.911616162,0.088383838,1,,,0.58749769
California Imper,California,Imperial County,450,178805,0.884444444,0.115555556,1,203.6,89.6,0.58749769
California Kings,California,Kings County,163,150260,0.963190184,0.036809816,0,54.7,27.1,0.58749769
California Lasse,California,Lassen County,107,31945,0.91588785,0.08411215,0,161,0,0.58749769
California Los A,California,Los Angeles County,3538,10057155,0.962690786,0.037309214,3,509.2,245,0.58749769
California Mader,California,Madera County,241,153365,0.846473029,0.153526971,0,59.3,26.5,0.58749769
California Marin,California,Marin County,205,259360,0.907317073,0.092682927,0,11,0,0.58749769
California Marip,California,Mariposa County,115,17645,0.8,0.2,0,,,0.58749769
California Mendo,California,Mendocino County,355,87410,0.926760563,0.073239437,0,40.8,40.8,0.58749769
California Merce,California,Merced County,532,265000,0.879699248,0.120300752,1,97.4,40.8,0.58749769
California Modoc,California,Modoc County,87,9035,0.931034483,0.068965517,0,181.5,0,0.58749769
California Monte,California,Monterey County,379,430200,0.920844327,0.079155673,1,110,108.9,0.58749769
California Nevad,California,Nevada County,134,98640,0.865671642,0.134328358,0,29.6,29.6,0.58749769
California Orang,California,Orange County,1160,3132210,0.955172414,0.044827586,1,121.5,67.6,0.58749769
California Place,California,Placer County,334,370570,0.958083832,0.041916168,0,144.8,144.8,0.58749769
California Pluma,California,Plumas County,150,18755,0.933333333,0.066666667,0,145.1,0,0.58749769
California River,California,Riverside County,1094,2323890,0.9488117,0.0511883,1,171.5,130.3,0.58749769
California Sacra,California,Sacramento County,735,1479300,0.963265306,0.036734694,1,158.5,80.3,0.58749769
California San D,California,San Diego County,1603,3253355,0.964441672,0.035558328,1,189,117,0.58749769
California San F,California,San Francisco County,129,850280,0.953488372,0.046511628,0,15.7,15.7,0.58749769
California San J,California,San Joaquin County,645,714860,0.899224806,0.100775194,1,236,96.8,0.58749769
California San L,California,San Luis Obispo County,395,278680,0.962025316,0.037974684,1,72.3,72.3,0.58749769
California San M,California,San Mateo County,362,754750,0.859116022,0.140883978,1,41.3,34.2,0.58749769
California Shast,California,Shasta County,500,179230,0.922,0.078,1,73.2,73.2,0.58749769
California Sierr,California,Sierra County,55,2930,0.781818182,0.218181818,0,5.6,1.6,0.58749769
California Siski,California,Siskiyou County,430,43670,0.939534884,0.060465116,0,163.8,90.7,0.58749769
California Solan,California,Solano County,374,429595,0.938502674,0.061497326,0,84.1,66.3,0.58749769
California Sonom,California,Sonoma County,615,497775,0.892682927,0.107317073,1,43.3,0,0.58749769
California Stani,California,Stanislaus County,382,530560,0.882198953,0.117801047,0,134.1,20.8,0.58749769
California Sutte,California,Sutter County,121,95405,0.884297521,0.115702479,0,27.3,10.6,0.58749769
California Teham,California,Tehama County,450,63015,0.906666667,0.093333333,0,58.3,40.8,0.58749769
California Trini,California,Trinity County,194,13180,0.896907216,0.103092784,0,,,0.58749769
California Tular,California,Tulare County,607,455770,0.942339374,0.057660626,0,153.3,22,0.58749769
California Tuolu,California,Tuolumne County,129,53865,0.914728682,0.085271318,0,28.9,0,0.58749769
California Ventu,California,Ventura County,502,843110,0.962151394,0.037848606,0,98.2,76.2,0.58749769
Colorado Adams,Colorado,Adams County,521,479975,0.961612284,0.038387716,0,94,25.2,0.78095535
Colorado Alamo,Colorado,Alamosa County,16,16355,1,0,1,31.7,0,0.78095535
Colorado Arapa,Colorado,Arapahoe County,380,617670,0.963157895,0.036842105,0,39.8,4,0.78095535
Colorado Archu,Colorado,Archuleta County,43,12355,0.930232558,0.069767442,0,1.7,1.7,0.78095535
Colorado Bould,Colorado,Boulder County,289,313960,0.979238754,0.020761246,0,57.2,8.8,0.78095535
Colorado Broom,Colorado,Broomfield County,66,62450,1,0,,7.3,0,0.78095535
Colorado Chaff,Colorado,Chaffee County,84,18505,0.964285714,0.035714286,0,,,0.78095535
Colorado Cheye,Colorado,Cheyenne County,61,2070,1,0,0,62.6,0,0.78095535
Colorado Clear,Colorado,Clear Creek County,76,9240,0.960526316,0.039473684,0,,,0.78095535
Colorado Conej,Colorado,Conejos County,63,8215,0.936507937,0.063492063,,53.1,32.9,0.78095535
Colorado Costi,Colorado,Costilla County,38,3590,1,0,0,32,0,0.78095535
Colorado Crowl,Colorado,Crowley County,28,5535,0.892857143,0.107142857,0,,,0.78095535
Colorado Custe,Colorado,Custer County,20,4375,0.95,0.05,0,,,0.78095535
Colorado Delta,Colorado,Delta County,64,30220,1,0,0,69.7,0,0.78095535
Colorado Denve,Colorado,Denver County,439,663305,0.972665148,0.027334852,1,53.2,19.8,0.78095535
Colorado Dolor,Colorado,Dolores County,30,1790,1,0,0,,,0.78095535
Colorado Dougl,Colorado,Douglas County,239,314240,0.962343096,0.037656904,0,74.6,0,0.78095535
Colorado Eagle,Colorado,Eagle County,171,52895,0.923976608,0.076023392,1,62.8,51.6,0.78095535
Colorado Elber,Colorado,Elbert County,85,24225,0.952941176,0.047058824,0,28.5,0,0.78095535
Colorado El Pa,Colorado,El Paso County,660,665170,0.959090909,0.040909091,1,80.7,8.7,0.78095535
Colorado Fremo,Colorado,Fremont County,137,46835,0.934306569,0.065693431,0,30,0,0.78095535
Colorado Garfi,Colorado,Garfield County,167,57495,0.97005988,0.02994012,0,71.1,65.1,0.78095535
Colorado Gilpi,Colorado,Gilpin County,18,5710,1,0,0,16.8,16.8,0.78095535
Colorado Grand,Colorado,Grand County,82,14490,0.914634146,0.085365854,0,65.5,65.5,0.78095535
Colorado Gunni,Colorado,Gunnison County,100,15890,0.95,0.05,1,4.4,0,0.78095535
Colorado Hinsd,Colorado,Hinsdale County,31,855,1,0,0,,,0.78095535
Colorado Huerf,Colorado,Huerfano County,94,6520,0.925531915,0.074468085,0,68.8,0,0.78095535
Colorado Jacks,Colorado,Jackson County,45,1305,0.977777778,0.022222222,0,,,0.78095535
Colorado Jeffe,Colorado,Jefferson County,445,558810,0.961797753,0.038202247,0,47.7,25.8,0.78095535
Colorado Kiowa,Colorado,Kiowa County,31,1465,0.967741935,0.032258065,0,2.1,0,0.78095535
Colorado Kit C,Colorado,Kit Carson County,134,8175,0.985074627,0.014925373,0,59.7,0,0.78095535
Colorado La Pl,Colorado,La Plata County,95,53995,0.989473684,0.010526316,1,32.7,32.7,0.78095535
Colorado Larim,Colorado,Larimer County,543,325230,0.963167587,0.036832413,0,99.1,0,0.78095535
Colorado Las A,Colorado,Las Animas County,205,14320,0.87804878,0.12195122,0,136.6,60.7,0.78095535
Colorado Linco,Colorado,Lincoln County,138,5515,0.898550725,0.101449275,0,71.3,0,0.78095535
Colorado Logan,Colorado,Logan County,182,21860,0.917582418,0.082417582,0,111.1,0,0.78095535
Colorado Miner,Colorado,Mineral County,26,795,1,0,0,,,0.78095535
Colorado Moffa,Colorado,Moffat County,79,13035,0.886075949,0.113924051,0,53.4,0,0.78095535
Colorado Monte,Colorado,Montezuma County,68,26005,0.926470588,0.073529412,1,,,0.78095535
Colorado Montr,Colorado,Montrose County,119,40865,0.899159664,0.100840336,1,16.2,0,0.78095535
Colorado Morga,Colorado,Morgan County,189,28290,0.957671958,0.042328042,0,56.6,37.3,0.78095535
Colorado Otero,Colorado,Otero County,200,18440,0.84,0.16,0,74.6,44.9,0.78095535
Colorado Ouray,Colorado,Ouray County,36,4650,0.972222222,0.027777778,0,,,0.78095535
Colorado Phill,Colorado,Phillips County,27,4345,0.962962963,0.037037037,0,36.2,0,0.78095535
Colorado Pitki,Colorado,Pitkin County,59,17545,1,0,1,,,0.78095535
Colorado Prowe,Colorado,Prowers County,137,12120,0.890510949,0.109489051,0,38.2,38.2,0.78095535
Colorado Puebl,Colorado,Pueblo County,263,162160,0.88973384,0.11026616,1,129.4,0,0.78095535
Colorado Rio B,Colorado,Rio Blanco County,54,6660,0.907407407,0.092592593,0,9.7,0,0.78095535
Colorado Rio G,Colorado,Rio Grande County,71,11625,0.971830986,0.028169014,0,51.9,0,0.78095535
Colorado Routt,Colorado,Routt County,96,23980,0.927083333,0.072916667,1,111.9,0,0.78095535
Colorado Sagua,Colorado,Saguache County,45,6255,0.911111111,0.088888889,0,0.5,0,0.78095535
Colorado San J,Colorado,San Juan County,12,550,0.916666667,0.083333333,0,13.4,13.4,0.78095535
Colorado San M,Colorado,San Miguel County,54,7765,0.981481481,0.018518519,0,,,0.78095535
Colorado Sedgw,Colorado,Sedgwick County,65,2365,0.969230769,0.030769231,0,31.2,0,0.78095535
Colorado Summi,Colorado,Summit County,55,29270,0.945454545,0.054545455,0,,,0.78095535
Colorado Telle,Colorado,Teller County,27,23470,0.925925926,0.074074074,0,,,0.78095535
Colorado Washi,Colorado,Washington County,77,4815,0.935064935,0.064935065,0,40.2,37.4,0.78095535
Connecticut Fairf,Connecticut,Fairfield County,840,941620,0.926190476,0.073809524,0,103.3,64.2,0.649393876
Connecticut Hartf,Connecticut,Hartford County,901,895700,0.927857936,0.072142064,1,101.1,34.5,0.649393876
Connecticut Litch,Connecticut,Litchfield County,456,185140,0.914473684,0.085526316,0,66.5,16,0.649393876
Connecticut Middl,Connecticut,Middlesex County,304,164440,0.927631579,0.072368421,0,40.9,21.4,0.649393876
Connecticut New H,Connecticut,New Haven County,871,860875,0.931113662,0.068886338,1,114.8,84.1,0.649393876
Connecticut New L,Connecticut,New London County,430,272035,0.925581395,0.074418605,0,97.6,34.3,0.649393876
Connecticut Tolla,Connecticut,Tolland County,204,151690,0.941176471,0.058823529,0,24.1,0,0.649393876
Connecticut Windh,Connecticut,Windham County,264,117080,0.939393939,0.060606061,0,46.6,0,0.649393876
Delaware New C,Delaware,New Castle County,499,551995,0.965931864,0.034068136,0,125.9,37.8,0.816886856
Delaware Susse,Delaware,Sussex County,166,211225,0.93373494,0.06626506,0,93.3,0,0.816886856
Florida Alach,Florida,Alachua County,112,256580,0.991071429,0.008928571,1,84.5,0,0.882151679
Florida Baker,Florida,Baker County,90,27310,0.922222222,0.077777778,0,39.9,0,0.882151679
Florida Bradf,Florida,Bradford County,62,26920,0.935483871,0.064516129,0,42,0,0.882151679
Florida Breva,Florida,Brevard County,242,560685,0.991735537,0.008264463,1,100.5,0,0.882151679
Florida Browa,Florida,Broward County,690,1863780,0.986956522,0.013043478,1,50.3,49.4,0.882151679
